product,rating,rating count,price,product url
"The S.T.A.B.L.E. Program, Learner/ Provider Manual: Post-Resuscitation/ Pre-Transport Stabilization Care of Sick Infants- Guidelines for Neonatal Heal ... / Post-Resuscition Stabilization)  ",4.8 out of 5 stars,590  ,47.45,https://amazon.com/B-L-Program-Learner-Provider-Manual/dp/1937967026/ref=sr_1_1?keywords=t+a+b+l+e+s&qid=1664552344&sr=8-1
"Monogram Inital Letter Acrylic Cake Topper Wedding A B C D E F G H I J K L M N O P Q R S T U V W X Y Z & (&, Glittery Gold)  ",4.4 out of 5 stars,154  ,6.98,https://amazon.com/Monogram-Inital-Acrylic-Wedding-Glittery/dp/B019HH05LU/ref=sr_1_2?keywords=t+a+b+l+e+s&qid=1664552344&sr=8-2
S.T.A.B.L.E. - Cardiac Module: Recognition and Stabilization of Neonates with Severe CHD  ,4.9 out of 5 stars,49  ,64.95,https://amazon.com/S-T-B-L-Recognition-Stabilization-Neonates/dp/1937967174/ref=sr_1_5?keywords=t+a+b+l+e+s&qid=1664552344&sr=8-5
"Monogram Acrylic Letter Cake Toppers In Brushed Gold or Brushed Silver A B C D E F G H I J K L M N O P R S T U V W (Letter L, Brushed Silver)  ",4.2 out of 5 stars,93  ,15.98,https://amazon.com/Monogram-Acrylic-Letter-Toppers-Brushed/dp/B0787HBSG7/ref=sr_1_6?keywords=t+a+b+l+e+s&qid=1664552344&sr=8-6
Mini Bass Guitar For B-E-A-T-L-E-S YELLOW SUBMARINE Display GIFT  ,4.7 out of 5 stars,9  ,27.95,https://amazon.com/Guitar-T-L-YELLOW-SUBMARINE-Display/dp/B08LCNNZLY/ref=sr_1_9?keywords=t+a+b+l+e+s&qid=1664552344&sr=8-9
N o t a B e s t s e l l e r  ,5.0 out of 5 stars,2  ,9.99,https://amazon.com/Taylor-Hughes/dp/1668597543/ref=sr_1_11?keywords=t+a+b+l+e+s&qid=1664552344&sr=8-11
"W.a.l.l.s.t.r.e.e.t.b.e.t.s Diamond Hand To The Moon T Shirt,Diamond Hand T-Shirt, Long Sleeve, Sweatshirt, Hoodie  ",5.0 out of 5 stars,7  ,18.99,https://amazon.com/l-l-s-t-r-Diamond-T-Shirt-Sleeve-Sweatshirt/dp/B08ZH9SR5H/ref=sr_1_14?keywords=t+a+b+l+e+s&qid=1664552344&sr=8-14
S.T.A.B.L.E. Cardiac Module: Recognition and Stabilization of Neonates with Severe CHD  ,4.7 out of 5 stars,73  ,45.25,https://amazon.com/S-T-B-L-Cardiac-Module-Stabilization/dp/0975855905/ref=sr_1_15?keywords=t+a+b+l+e+s&qid=1664552344&sr=8-15
"Clinical Pathophysiology Made Ridiculously Simple, 2nd Edition: An Incredibly Easy Way To Learn For Medical, Nursing, Nurse Practitioner, And Physician Assistant Students (MedMaster Books)  ",4.6 out of 5 stars,"2,194  ",31.46,https://amazon.com/sspa/click?ie=UTF8&spc=MTo1NTkxNDkzODQ4ODMxNjIwOjE2NjQ1NTIzNDc6c3BfYXRmX25leHQ6MjAwMDc5NjU2MzQ3Njk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FClinical-Pathophysiology-Made-Ridiculously-Simple%2Fdp%2F1935660446%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dt%2Ba%2Bb%2Bl%2Be%2Bs%26qid%3D1664552347%26qu%3DeyJxc2MiOiIxLjkwIiwicXNhIjoiMC4wMCIsInFzcCI6IjAuMDAifQ%253D%253D%26sr%3D8-17-spons%26psc%3D1
Fast Facts for the L&D Nurse: Labor and Delivery Orientation  ,4.6 out of 5 stars,6  ,30.79,https://amazon.com/sspa/click?ie=UTF8&spc=MTo1NTkxNDkzODQ4ODMxNjIwOjE2NjQ1NTIzNDc6c3BfYXRmX25leHQ6MjAwMDU1OTE5MTY2Nzk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FFast-Facts-Nurse-Delivery-Orientation%2Fdp%2F0826151248%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dt%2Ba%2Bb%2Bl%2Be%2Bs%26qid%3D1664552347%26qu%3DeyJxc2MiOiIxLjkwIiwicXNhIjoiMC4wMCIsInFzcCI6IjAuMDAifQ%253D%253D%26sr%3D8-18-spons%26psc%3D1
