product,rating,rating count,price,product url
"Amazon Basics Melamine Dinnerware Set, Service for 4, Tuscan - Set of 12  ",4.4 out of 5 stars,"4,152  ",28.1,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0875330G0TZXEY4CXEW&url=%2FAmazonBasics-12-Piece-Melamine-Dinnerware-Set%2Fdp%2FB08989CZS2%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Ddinner%2Bset%26qid%3D1664552683%26qu%3DeyJxc2MiOiI4LjA1IiwicXNhIjoiNy41NSIsInFzcCI6IjYuMjkifQ%253D%253D%26sr%3D8-1-spons%26psc%3D1&qualifier=1664552683&id=1684073479306519&widgetName=sp_atf
"Pfaltzgraff Trellis White 16-Piece Dinnerware Set, Service for 4, Distressed White  ",4.7 out of 5 stars,"4,852  ",55.97,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00787621H58FU3HI3H24&url=%2FPfaltzgraff-5217179-Trellis-16-Piece-Dinnerware%2Fdp%2FB072NHMG4N%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Ddinner%2Bset%26qid%3D1664552683%26qu%3DeyJxc2MiOiI4LjA1IiwicXNhIjoiNy41NSIsInFzcCI6IjYuMjkifQ%253D%253D%26sr%3D8-2-spons%26psc%3D1&qualifier=1664552683&id=1684073479306519&widgetName=sp_atf
"Wheat Straw Dinnerware Set (32PCS)| Unbreakable Tableware Set Dishwasher & Microwave Safe Eco-Friendly Reusable Dinner Dessert Plates, Bowls, Mugs, Cutlery Beige  ",4.5 out of 5 stars,75  ,23.99,https://amazon.com/Dinnerware-Unbreakable-Tableware-Dishwasher-Eco-Friendly/dp/B09MVXJRFC/ref=sr_1_3?keywords=dinner+set&qid=1664552683&qu=eyJxc2MiOiI4LjA1IiwicXNhIjoiNy41NSIsInFzcCI6IjYuMjkifQ%3D%3D&sr=8-3
"Gibson Soho Lounge 16-Piece Square Reactive Glaze Dinnerware Set, Red  ",4.7 out of 5 stars,"20,418  ",50.06,https://amazon.com/Gibson-Lounge-Reactive-Dinnerware-Dessert/dp/B0038JDEOY/ref=sr_1_4?keywords=dinner+set&qid=1664552683&qu=eyJxc2MiOiI4LjA1IiwicXNhIjoiNy41NSIsInFzcCI6IjYuMjkifQ%3D%3D&sr=8-4
"Gibson Elite Matisse 16 Piece Double Bowl Dinnerware Set, Cobalt Blue  ",4.8 out of 5 stars,"3,019  ",78.15,https://amazon.com/Gibson-Elite-99839-16RM-Dinnerware-Stoneware/dp/B07FK94DX2/ref=sr_1_5?keywords=dinner+set&qid=1664552683&qu=eyJxc2MiOiI4LjA1IiwicXNhIjoiNy41NSIsInFzcCI6IjYuMjkifQ%3D%3D&sr=8-5
"Amazon Basics 16-Piece Porcelain Kitchen Dinnerware Set with Plates, Bowls and Mugs, Service for 4 - White  ",4.7 out of 5 stars,4.7 out of 5 stars ,29.58,https://amazon.com/AmazonBasics-16-Piece-Dinnerware-Set-Service/dp/B0157FD02C/ref=sr_1_6?keywords=dinner+set&qid=1664552683&qu=eyJxc2MiOiI4LjA1IiwicXNhIjoiNy41NSIsInFzcCI6IjYuMjkifQ%3D%3D&sr=8-6
"Corelle 18 Piece Dinnerware Sets for 6 | Dinner Plate, Appetizer Plate, and Soup or Cereal Bowl Set | Triple Layer Plates and Bowls are Highly Chip and Crack Resistant | Dishwasher & Microwave Safe  ",4.7 out of 5 stars,"10,322  ",74.49,https://amazon.com/Corelle-Winter-Dinnerware-18-Piece-Service/dp/B00R790CLY/ref=sr_1_7?keywords=dinner+set&qid=1664552683&qu=eyJxc2MiOiI4LjA1IiwicXNhIjoiNy41NSIsInFzcCI6IjYuMjkifQ%3D%3D&sr=8-7
"Stone Lain Coupe Dinnerware Set, Service For 4, Black Matte, Matte Black  ",4.7 out of 5 stars,"15,097  ",64.99,https://amazon.com/Stone-Lain-Coupe-Dinnerware-Service/dp/B07XKXQL79/ref=sr_1_8?keywords=dinner+set&qid=1664552683&qu=eyJxc2MiOiI4LjA1IiwicXNhIjoiNy41NSIsInFzcCI6IjYuMjkifQ%3D%3D&sr=8-8
"Gibson Home Rockaway 12-Piece Dinnerware Set Service for 4, Grey Matte -  ",4.6 out of 5 stars,"10,089  ",39.97,https://amazon.com/Gibson-Home-Rockaway-Piece-Dinnerware/dp/B075ZX9G4H/ref=sr_1_9?keywords=dinner+set&qid=1664552683&qu=eyJxc2MiOiI4LjA1IiwicXNhIjoiNy41NSIsInFzcCI6IjYuMjkifQ%3D%3D&sr=8-9
"Gibson Soho Lounge Round Reactive Glaze Stoneware Dinnerware Set, Service for 4 (16pc), Blue, Soho Round.  ",4.7 out of 5 stars,"3,065  ",45.11,https://amazon.com/Gibson-Home-Round-Piece-Dinnerware/dp/B01FJPWHHO/ref=sr_1_10?keywords=dinner+set&qid=1664552683&qu=eyJxc2MiOiI4LjA1IiwicXNhIjoiNy41NSIsInFzcCI6IjYuMjkifQ%3D%3D&sr=8-10
"Euro Ceramica Essential Collection Porcelain Dinnerware and Serveware, 16 Piece Set, Service for 4, Classic White  ",4.7 out of 5 stars,"2,210  ",56.93,https://amazon.com/Euro-Ceramica-WHT-868160-Essential-Dinnerware/dp/B07PPD3WRL/ref=sr_1_11?keywords=dinner+set&qid=1664552683&qu=eyJxc2MiOiI4LjA1IiwicXNhIjoiNy41NSIsInFzcCI6IjYuMjkifQ%3D%3D&sr=8-11
"Tabletops Gallery Speckled Farmhouse Collection- Stoneware Dishes Service for 4 Dinner Salad Appetizer Dessert Plate Bowls, 16 Piece Jura Embossed Dinnerware Set in Smoky Blue  ",4.7 out of 5 stars,526  ,79.99,https://amazon.com/Tabletops-Gallery-Farmhouse-Collection-Dinnerware/dp/B09LCBRYM5/ref=sr_1_12?keywords=dinner+set&qid=1664552683&qu=eyJxc2MiOiI4LjA1IiwicXNhIjoiNy41NSIsInFzcCI6IjYuMjkifQ%3D%3D&sr=8-12
