product,rating,rating count,price,product url
Amazon Essentials Women's Tank Maxi Dress  ,4.3 out of 5 stars,"5,209  ",27.5,https://amazon.com/sspa/click?ie=UTF8&spc=MTo4Mjc0NDk5MzM2NzEwMzY1OjE2NjQ1NTI2MjY6c3BfYXRmOjIwMDAxMjM5Njc2NTA3MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FAmazon-Essentials-Womens-Patterned-French%2Fdp%2FB07JN9JTD9%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Ddress%26qid%3D1664552626%26qu%3DeyJxc2MiOiIxMy4wOSIsInFzYSI6IjEzLjI0IiwicXNwIjoiMTIuMjgifQ%253D%253D%26sr%3D8-1-spons%26psc%3D1
ODCOCD Women's Knee Length Short Sleeve Elegant Lace Dresses/Linning Dresses  ,4.2 out of 5 stars,627  ,35.98,https://amazon.com/sspa/click?ie=UTF8&spc=MTo4Mjc0NDk5MzM2NzEwMzY1OjE2NjQ1NTI2MjY6c3BfYXRmOjIwMDA3MjA4MDk4OTU5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FODCOCD-Womens-Lace-Dress-7048_Lilac%2Fdp%2FB09DCSCF4C%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Ddress%26qid%3D1664552626%26qu%3DeyJxc2MiOiIxMy4wOSIsInFzYSI6IjEzLjI0IiwicXNwIjoiMTIuMjgifQ%253D%253D%26sr%3D8-2-spons%26psc%3D1
Amoretu Women Summer Tunic Dress V Neck Casual Loose Flowy Swing Shift Dresses  ,3.9 out of 5 stars,"56,137  ",25.48,https://amazon.com/Amoretu-Women-Sleeve-Dresses-Medium/dp/B07QM6YH1G/ref=sr_1_3?keywords=dress&qid=1664552626&qu=eyJxc2MiOiIxMy4wOSIsInFzYSI6IjEzLjI0IiwicXNwIjoiMTIuMjgifQ%3D%3D&sr=8-3
Cosonsen Women's Dress Deep V-Neck Long Sleeve Waist Tie Ruffle Mini Swing Skater Dresses  ,4.2 out of 5 stars,"15,089  ",39.99,https://amazon.com/Womens-Skater-V-Neck-Lantern-Sleeve/dp/B09DS54R1P/ref=sr_1_4?keywords=dress&qid=1664552626&qu=eyJxc2MiOiIxMy4wOSIsInFzYSI6IjEzLjI0IiwicXNwIjoiMTIuMjgifQ%3D%3D&sr=8-4
LYANER Women's Spaghetti Straps Split Hem Sleeveless Zipper Bodycon Midi Dress  ,3.8 out of 5 stars,727  ,33.99,https://amazon.com/LYANER-Womens-Spaghetti-Sleeveless-Bodycon/dp/B09XM15GMK/ref=sr_1_5?keywords=dress&qid=1664552626&qu=eyJxc2MiOiIxMy4wOSIsInFzYSI6IjEzLjI0IiwicXNwIjoiMTIuMjgifQ%3D%3D&sr=8-5
BELONGSCI Women's Dress Sweet & Cute V-Neck Bell Sleeve Shift Dress Mini Dress  ,3.9 out of 5 stars,"43,210  ",34.99,https://amazon.com/BELONGSCI-Womens-Dress-V-Neck-Sleeve/dp/B07GLLCRQ6/ref=sr_1_6?keywords=dress&qid=1664552626&qu=eyJxc2MiOiIxMy4wOSIsInFzYSI6IjEzLjI0IiwicXNwIjoiMTIuMjgifQ%3D%3D&sr=8-6
MEROKEETY Women's Flutter Short Sleeve Smocked Midi Dress Summer Casual Tiered A-Line Dress  ,4.3 out of 5 stars,"1,092  ",27.19,https://amazon.com/MEROKEETY-Womens-Flutter-Sleeve-Smocked/dp/B09X46V8V7/ref=sr_1_7?keywords=dress&qid=1664552626&qu=eyJxc2MiOiIxMy4wOSIsInFzYSI6IjEzLjI0IiwicXNwIjoiMTIuMjgifQ%3D%3D&sr=8-7
xxxiticat Women's Sleeveless Spaghetti Strap Satin Dress Cocktail Beach Evening Party Cowl Neck Dot Leopard Midi Dresses  ,3.8 out of 5 stars,"14,198  ",24.99,https://amazon.com/XXXITICAT-Sleeveless-Spaghetti-Cocktail-Evening/dp/B07MX5F921/ref=sr_1_8?keywords=dress&qid=1664552626&qu=eyJxc2MiOiIxMy4wOSIsInFzYSI6IjEzLjI0IiwicXNwIjoiMTIuMjgifQ%3D%3D&sr=8-8
WDIRARA Women's Square Neck Flounce Short Sleeve Shirred Ruffle Hem Dress  ,4.0 out of 5 stars,683  ,36.99,https://amazon.com/WDIRARA-Womens-Square-Flounce-Shirred/dp/B0999D2DP4/ref=sr_1_9?keywords=dress&qid=1664552626&qu=eyJxc2MiOiIxMy4wOSIsInFzYSI6IjEzLjI0IiwicXNwIjoiMTIuMjgifQ%3D%3D&sr=8-9
FARYSAYS Women's Dresses for Women 2022 Long Sleeve Ruffle Waist Tie Casual Mini Swing Dress  ,4.6 out of 5 stars,37  ,37.98,https://amazon.com/FARYSAYS-Womens-Dresses-Ruffle-Sleeve/dp/B0B24WQ3QG/ref=sr_1_10?keywords=dress&qid=1664552626&qu=eyJxc2MiOiIxMy4wOSIsInFzYSI6IjEzLjI0IiwicXNwIjoiMTIuMjgifQ%3D%3D&sr=8-10
