product,rating,rating count,price,product url
Amazon Essentials Women's Pointed-Toe Ballet Flat  ,4.2 out of 5 stars,"6,208  ",21.1,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03098222R826GJZ9R27H&url=%2FAmazon-Essentials-Womens-Pointed-Toe-Ballet%2Fdp%2FB096NM7TMP%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dshoes%26qid%3D1664552785%26qu%3DeyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%253D%253D%26sr%3D8-1-spons%26psc%3D1&qualifier=1664552785&id=376989043244853&widgetName=sp_atf
Rockport Men's Eureka Walking Shoe  ,4.4 out of 5 stars,"20,477  ",49.99,https://amazon.com/Rockport-Mens-Eureka-Walking-Black/dp/B000W90E6O/ref=sr_1_4?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-4
"OOFOS OOriginal Sandal - Lightweight Recovery Footwear - Reduces Pressure on Feet, Joints & Back - Machine Washable  ",4.6 out of 5 stars,"9,909  ",59.95,https://amazon.com/OOFOS-Unisex-Original-Thong-Black/dp/B00IA4XD20/ref=sr_1_5?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-5
PUMA Men's Tazon 6 Wide Sneaker  ,4.5 out of 5 stars,"47,467  ",44.99,https://amazon.com/PUMA-Tazon-Black-Silver-Running/dp/B01G3LZG8U/ref=sr_1_6?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-6
Skechers Men's Energy Afterburn Lace-Up Sneaker  ,4.5 out of 5 stars,"36,906  ",64.99,https://amazon.com/Skechers-Energy-Afterburn-Lace-Up-Sneaker/dp/B000PRGTE4/ref=sr_1_7?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-7
adidas Men's Lite Racer Adapt-4.0 Running Shoe  ,4.6 out of 5 stars,"8,973  ",39.47,https://amazon.com/adidas-Racer-Adapt-Black-White/dp/B08CYC26PF/ref=sr_1_8?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-8
adidas Men's Lite Racer Adapt 3.0 Running Shoe  ,4.5 out of 5 stars,"20,676  ",49.0,https://amazon.com/adidas-LDW22-Adidasblack-Black-GREY10-5/dp/B0812K6W9P/ref=sr_1_10?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-10
Skechers Men's Classic Fit-Delson-Camden Sneaker  ,4.6 out of 5 stars,"27,242  ",45.5,https://amazon.com/Skechers-Classic-Fit-Delson-Camden-Sneaker-black/dp/B0756BS917/ref=sr_1_11?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-11
New Balance Women's FuelCore Nergize V1 Sneaker  ,4.4 out of 5 stars,"55,765  ",55.0,https://amazon.com/New-Balance-Nergize-FuelCore-Sneaker/dp/B07C2W3HXL/ref=sr_1_12?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-12
New Cute Shark Slippers for Women Men Anti-Slip Novelty Open Toe Slides Summer Lightweight Sole Sandals Casual Beach Shoes  ,4.5 out of 5 stars,11  ,17.98,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04801551ZP5FI32E717G&url=%2FSlides-Anti-Slip-Slippers-Sandals-numeric_9_point_5%2Fdp%2FB09ZV3KJJ4%2Fref%3Dsr_1_14_sspa%3Fkeywords%3Dshoes%26qid%3D1664552785%26qu%3DeyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%253D%253D%26sr%3D8-14-spons%26psc%3D1&qualifier=1664552785&id=376989043244853&widgetName=sp_mtf
