product,rating,rating count,price,product url
"Amazon Basics Round Storage End Table, Side Table with Cloth Basket - Charcoal/Heather Gray, 19 x 18 x 18 Inches  ",4.4 out of 5 stars,"7,113  ",31.44,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A008548520DMVITY2VLCI&url=%2FAmazonBasics-Round-Storage-End-Table%2Fdp%2FB07TTTG49V%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dtable%26qid%3D1664552487%26qu%3DeyJxc2MiOiI5LjI2IiwicXNhIjoiOC43OCIsInFzcCI6IjcuNjgifQ%253D%253D%26sr%3D8-1-spons%26psc%3D1&qualifier=1664552487&id=6155585777833010&widgetName=sp_atf
"VOYSIGN Patio Bistro Side Table, Metal Porch End Table for Outdoor  ",4.1 out of 5 stars,46  ,39.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0136909F2OXJUBYD9K2&url=%2FVOYSIGN-Patio-Bistro-Table-Outdoor%2Fdp%2FB09YDMP9MH%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dtable%26qid%3D1664552487%26qu%3DeyJxc2MiOiI5LjI2IiwicXNhIjoiOC43OCIsInFzcCI6IjcuNjgifQ%253D%253D%26sr%3D8-2-spons%26psc%3D1&qualifier=1664552487&id=6155585777833010&widgetName=sp_atf
"SHW Home Office 32-Inch Computer Desk, Black  ",4.6 out of 5 stars,"27,425  ",54.97,https://amazon.com/SHW-Office-32-Inch-Computer-Black/dp/B09HJFV688/ref=sr_1_3?keywords=table&qid=1664552487&qu=eyJxc2MiOiI5LjI2IiwicXNhIjoiOC43OCIsInFzcCI6IjcuNjgifQ%3D%3D&sr=8-3
"Furinno Just 3-Tier Turn-N-Tube End Table / Side Table / Night Stand / Bedside Table with Plastic Poles, 1-Pack, White/White  ",4.5 out of 5 stars,"58,270  ",13.6,https://amazon.com/Furinno-11087-3-Tier-Reversible-Espresso/dp/B00631YUEM/ref=sr_1_4?keywords=table&qid=1664552487&qu=eyJxc2MiOiI5LjI2IiwicXNhIjoiOC43OCIsInFzcCI6IjcuNjgifQ%3D%3D&sr=8-4
"SOOWERY Console Table with Charging Station, 32'' Entryway Table with Doors, Sofa Table Narrow Long with 3 Tiers Open Wood Storage Shelves, for Living Room, Entryway, Foyer, Brown  ",4.7 out of 5 stars,52  ,99.99,https://amazon.com/SOOWERY-Console-Charging-Station-Entryway/dp/B09X2XPQN9/ref=sr_1_5?keywords=table&qid=1664552487&qu=eyJxc2MiOiI5LjI2IiwicXNhIjoiOC43OCIsInFzcCI6IjcuNjgifQ%3D%3D&sr=8-5
"Christopher Knight Home Della Acacia Wood Dining Table, Natural Stained with Rustic Metal, 32.25 in x 69 in x 29.5 in  ",4.6 out of 5 stars,655  ,258.99,https://amazon.com/Daria-Natural-Stained-Acacia-Dining/dp/B01GP0FTZE/ref=sr_1_6?keywords=table&qid=1664552487&qu=eyJxc2MiOiI5LjI2IiwicXNhIjoiOC43OCIsInFzcCI6IjcuNjgifQ%3D%3D&sr=8-6
"Byliable Folding Table 6ft Portable Heavy Duty Plastic Fold-in-Half Utility Foldable Table Plastic Dining Table Indoor Outdoor for Camping, Picnic and Party, White  ",4.5 out of 5 stars,120  ,92.64,https://amazon.com/Byliable-Folding-Portable-Plastic-Utility/dp/B0989DJNDD/ref=sr_1_8?keywords=table&qid=1664552487&qu=eyJxc2MiOiI5LjI2IiwicXNhIjoiOC43OCIsInFzcCI6IjcuNjgifQ%3D%3D&sr=8-8
"COSCO Deluxe 6 foot x 30 inch Fold-in-Half Blow Molded Folding Table, Black  ",4.7 out of 5 stars,"15,445  ",88.76,https://amazon.com/Cosco-14678BLK1-Deluxe-Folding-Rectangle/dp/B00DOZTM3O/ref=sr_1_9?keywords=table&qid=1664552487&qu=eyJxc2MiOiI5LjI2IiwicXNhIjoiOC43OCIsInFzcCI6IjcuNjgifQ%3D%3D&sr=8-9
"Ecoprsio Console Table with Drawers, Gray Sofa Table Entryway Table Narrow Long with Storage Shelves for Entryway, Front Hall, Hallway, Sofa, Couch, Living Room, Bar, Kitchen, 32 Inch, Grey  ",4.6 out of 5 stars,"1,420  ",99.99,https://amazon.com/Ecoprsio-Console-Drawers-Entryway-Storage/dp/B09FLVW62J/ref=sr_1_10?keywords=table&qid=1664552487&qu=eyJxc2MiOiI5LjI2IiwicXNhIjoiOC43OCIsInFzcCI6IjcuNjgifQ%3D%3D&sr=8-10
"VASAGLE Folding Dining Table, Drop Leaf Extendable, for Small Spaces, Seats 2-4 People, Industrial, 33.3 x 30.7 x 30 Inches,Brown  ",4.6 out of 5 stars,164  ,125.99,https://amazon.com/VASAGLE-Dining-Table-UKDT077B01/dp/B08LYK1N18/ref=sr_1_11?keywords=table&qid=1664552487&qu=eyJxc2MiOiI5LjI2IiwicXNhIjoiOC43OCIsInFzcCI6IjcuNjgifQ%3D%3D&sr=8-11
